ID,coffee,Varsity,Milk,exercise,wakeup,politics,fruitveg,obama,bushjr,clinton,bushsr,regan,carter,Mathlove,WritingLove,optimism,alcohol,sleep,IsBookSmart,homework,healthcare,,,,
1,16,0,6,2,7.5,38,4,40,70,70,50,70,49,25,65,70,1,7,1,15,35,,,,
2,0,1,0,0,9.5,60,3,72,24,76,19,64,62,50,48,78,3,7,1,20,68,,,,
3,2,1,0,3,7,95,7,85,0,92,10,20,40,65,10,90,1,7,1,40,70,,,,
4,0,1,0,3,7.5,80,3,80,8,86,,25,51,85,50,75,1,6.5,1,0,65,,,,
5,2,0,0,2,9,72,10,65,18,72,37,39,48,43,51,62,1,7.5,1,7,61,,,,
6,12,1,0,3,7.5,70,6,80,20,75,30,35,60,10,51,75,3,7,1,10,60,,,,
7,16,1,6,2.5,7.5,80,3,80,20,80,40,45,50,65,70,75,2,6,1,25,85,,,,
8,4,1,2,10,6.5,75,8,80,0,,75,20,60,65,80,20,3,6.5,1,1,100,,,,
9,12,1,1,3.5,7.5,80,1,80,5,90,20,21,65,20,70,90,7,7,1,0,90,,,,
10,4,0,4,3.5,9,85,4,65,10,80,,25,,35,10,70,0,6,1,20,75,,,,
11,0,0,12,1,7.5,,2,72,24,,,,,23,,82,0,7,1,3,81,,,,
12,6,1,6,7,8.5,80,3,78,15,78,23,23,78,67,62,90,6,7.5,1,2,76,,,,
13,32,0,4,4.5,6,84,5,100,11,69,28,38,60,60,72,51,3,5,0,4,68,,,,
14,16,1,4,5,6.5,80,3,75,30,72,40,,,55,45,75,5,7.5,1,0,60,,,,
15,12,1,8,4,6,75,4,88,16,90,,73,,62,18,93,0,7,1,3,69,,,,
16,3,0,6,2.5,6.5,75,5,95,0,,15,50,51,70,70,100,2,7,1,0,80,,,,
17,8,0,0,3,7,50,3,70,45,70,49,49,51,40,55,75,8,6.5,1,3,60,,,,
18,8,1,4,4,7,80,3,90,2,100,20,10,80,60,60,40,3,7,1,10,65,,,,
19,40,0,4,3,6,80,6,80,20,80,35,35,50,80,20,90,2,7,1,0,75,,,,
20,16,1,0,6,6.5,71,4,74,32,,,,,69,64,100,5,7,1,4,72,,,,
21,4,1,4,0.5,7.5,75,2,75,10,65,5,5,65,80,65,33,5,8,1,5,90,,,,
22,2,0,8,2,7,66,3,80,7,88,37,44,,44,55,70,4,6.5,1,10,35,,,,
23,0,1,16,7,7.5,65,1,71,0,72,57,,,49,61,44,0,8.5,0,0,63,,,,
24,16,1,10,6,7.5,,2,,,,,,,,62,100,1,8,1,5,,,,,
25,10,1,3,4.5,6,85,4,80,10,90,20,25,90,60,70,85,2,7,1,10,75,,,,
26,16,1,6,3,7.5,78,2,82,0,93,0,0,,90,23,,2,6,1,10,83,,,,
27,12,1,5,2,7.5,64,4,66,37,61,,,,,61,40,1,8,1,15,58,,,,
28,12,1,12,12,7,67,4,71,14,73,12,18,,,,66,1,6,,0,91,,,,
29,20,0,0,2,5.5,39,3,32,29,61,39,76,47,81,82,87,1,7,0,2,22,,,,
30,2,1,50,7,5,27,5,59,96,92,90,11,12,98,98,97,0,8,1,1,95,,,,
31,12,0,6,2.5,7,99,1,100,10,80,10,5,80,43,,100,0,8,1,40,80,,,,
32,0,0,16,8,7,82,1,90,0,86,15,45,80,65,70,90,0,6,1,2,,,,,
33,12,1,0,3,9,72,5,82,22,72,32,39,44,80,80,91,2,7.5,1,21,60,,,,
34,16,0,8,0,11,88,4,89,32,92,25,51,23,92,66,67,6,6.5,0,30,69,,,,
35,32,0,4,3,8,81,6,91,20,80,50,60,78,75,20,89,0,6.5,1,10,80,,,,
36,0,1,0,2,8,89,7,95,8,70,9,50,51,50,45,69,5,6.5,1,20,60,,,,
37,8,1,0,1,8,93,6,85,21,55,30,49,77,80,8,84,0,8,1,20,65,,,,
38,0,1,,10,5.5,91,6,90,20,78,,,,59,80,100,2,7,1,15,75,,,,
39,12,0,16,5,7.5,93,2,99,19,100,44,37,54,67,95,51,0,7,1,15,72,,,,
40,12,0,0,4.5,8,92,3,90,20,85,46,53,47,70,70,90,5,6.5,0,25,90,,,,
41,12,1,0,4,7,100,5,80,9,88,23,5,30,35,23,78,3,7,1,15,35,,,,
42,0,1,2,2.5,7,72,6,89,0,81,30,55,52,70,91,82,3,7,0,,63,,,,
43,6,0,6,0.5,9,71,3,75,30,33,49,50,50,80,24,80,3,8,1,10,,,,,
44,0,1,0,6,9.5,39,4,55,61,39,77,85,48,85,30,90,1,8,1,10,76,,,,
45,0,0,0,5.5,8,79,1,92,60,65,67,80,80,54,19,75,0,7.5,1,15,84,,,,
46,8,0,3,10,8,42,1,50,50,56,52,49,48,69,54,76,2,8,1,3,56,,,,
47,0,1,3,8,7,85,5,60,33,50,19,50,50,78,73,99,1,6,1,20,90,,,,
48,0,1,12,2,8.5,44,1,61,6,100,30,25,22,49,83,40,3,6.5,0,10,21,,,,
49,32,0,8,7,7.5,85,4,90,22,98,33,20,49,20,29,75,0,6,0,33,95,,,,
50,40,1,0,5,8,70,3,80,30,75,50,50,50,88,70,80,5,6,0,20,90,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
